,pearson_corr,abs_corr
diff_ex_length_sum_PARTIAL,-0.021078396402887552,0.021078396402887552
d2_crit_dmg,-0.020882425625863836,0.020882425625863836
a2_mag_count,0.019977069589536038,0.019977069589536038
diff_ex_cost_mean_FULL,-0.019837597038082078,0.019837597038082078
diff_ex_cost_sum_FULL,-0.01983759703808205,0.01983759703808205
as1_min_dmg,0.01972222529605062,0.01972222529605062
def_ex_cost_sum_PARTIAL,0.019181287681340663,0.019181287681340663
def_ex_cost_mean_PARTIAL,0.019181287681340503,0.019181287681340503
d2_alt_count,0.01907522312522997,0.01907522312522997
diff_accuracy_mean_PARTIAL,0.019008243884498635,0.019008243884498635
ds1_min_dmg,-0.01850731989450839,0.01850731989450839
d4_mag_count,-0.01833843588924189,0.01833843588924189
d2_affinity_indoor_dmg_mult,-0.017298547185106008,0.017298547185106008
d2_affinity_indoor_block_r,-0.01729854718510582,0.01729854718510582
ttk_a4_to_def,0.016856408382866738,0.016856408382866738
a1_recov_boost,0.015215106520433501,0.015215106520433501
ds1_evasion,0.014442441162517635,0.014442441162517635
d2_ex_length,-0.01440500308196317,0.01440500308196317
ds1_affinity_indoor_block_r,0.014286997991003763,0.014286997991003763
ds1_affinity_indoor_dmg_mult,0.014286997991003737,0.014286997991003737
diff_crit_sum_PARTIAL,0.014098775643790593,0.014098775643790593
as1_crit_dmg,0.013963792817380813,0.013963792817380813
a4_recov_boost,0.013696766307342654,0.013696766307342654
def_healing_std_PARTIAL,-0.013406045819720542,0.013406045819720542
def_crit_mean_PARTIAL,0.01232974878974586,0.01232974878974586
def_crit_sum_PARTIAL,0.012329748789745831,0.012329748789745831
ds1_ex_length,0.01225403446356536,0.01225403446356536
diff_atk_std_FULL,-0.012206671557509508,0.012206671557509508
ds1_ex_cost,-0.011913765660417455,0.011913765660417455
a2_accuracy,-0.01189025931468078,0.01189025931468078
as1_def,-0.011510395417025242,0.011510395417025242
d1_mag_count,0.01131828065089067,0.01131828065089067
def_accuracy_std_PARTIAL,-0.01074046304634086,0.01074046304634086
ds1_stability,-0.010267682172753456,0.010267682172753456
d4_def,0.010012127817106009,0.010012127817106009
ttk_avg_defS_to_atk_str,-0.009973781112680965,0.009973781112680965
d2_stability,0.00967861076097007,0.00967861076097007
diff_healing_std_PARTIAL,0.009473950629962532,0.009473950629962532
diff_atk_std_PARTIAL,0.009455462905458466,0.009455462905458466
a2_crit,0.00918729030561484,0.00918729030561484
d2_na_cost,0.009182400613942238,0.009182400613942238
a3_alt_count,-0.009182070161804615,0.009182070161804615
diff_def_sum_PARTIAL,0.008914437462719046,0.008914437462719046
def_ex_cost_sum_FULL,0.008556325745181646,0.008556325745181646
def_ex_cost_mean_FULL,0.008556325745181545,0.008556325745181545
d2_max_hp,0.008242144326264295,0.008242144326264295
a2_atk,0.007913970339452507,0.007913970339452507
d1_crit_res,0.007790141652266208,0.007790141652266208
ttk_ds1_to_atk_str,0.007442544227826213,0.007442544227826213
d3_def,0.007279887529566592,0.007279887529566592
a1_affinity_indoor_block_r,0.006986272528114382,0.006986272528114382
